created_at,location,polarity,screen_name,subjectivity,word,created_at_hourly,unix_created_at,location_cat,lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
2021-07-01T22:07:22.000Z,London,0.0,lovemusicreiss,0.0,brooooo,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:07:22.000Z,London,0.0,playgirlc,0.0,3…,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:07:17.000Z,London,0.2125,woodgnomology,0.5958333333333333,Kirsty Wark having an absolute banger. First she tries to guilt Tracy Brabin over standing for mayor and winning. T…,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:07:15.000Z,London,0.2681818181818182,wearejemini,0.42727272727272725,Our new release 2DASHOPS is now available for preorder ‼️  DONT MISS OUT 👁 ukgarage…,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:07:07.000Z,London,0.7,douglaslgreen,0.9,Fair. But Branston Pickle in spag bol is an unrepentable sin..,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:07:02.000Z,London,0.0,AscendedView,0.0,Nah imma sort it out,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:58.000Z,London,0.0,lovemusicreiss,0.0,no problem xx,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:52.000Z,London,0.625,lovemusicreiss,0.5,ah okay!,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:19.000Z,London,0.2,YaaBoyAJ,0.2,Thanks pops I’m learning I’m learning,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:16.000Z,London,0.5,teacherhead,0.475,Great response - thanks for listening ),2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:13.000Z,London,-0.050000000000000044,kerriemccabe,0.4,Good grief.,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:08.000Z,London,0.0,jasonmackenzie,0.0,"",2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:06:02.000Z,London,0.30833333333333335,enzosquillinojr,0.5166666666666667,Thanks dude and I’ve been lucky still working. What can I say! X,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
2021-07-01T22:05:41.000Z,London,-0.0625,JamesBesanvalle,0.035416666666666666,That was one of my favourite episodes of Drag Race ever! I was scream laughing at that Fix It Bitch commercial and…,2021-07-01T22:00:00.000Z,1625176800,0,51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
