created_at,location,polarity,screen_name,subjectivity,word,created_at_hourly,unix_created_at,location_cat,lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
2021-07-01T22:06:38.000Z,Belfast,0.0,BelfastBooks,1.0,"We’ve done our part in organising the UlsterFryWorldCup tournament, with the grandest of prizes potentially awaiti…",2021-07-01T22:00:00.000Z,1625176800,2,54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
2021-07-01T22:02:06.000Z,Belfast,0.0,TheSnoopySnoop,0.0,"RETRO21 flight looked to have stopped at Bangor Maine - maybe somebody saw them? Showing on ADS-B as German, ass…",2021-07-01T22:00:00.000Z,1625176800,2,54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
2021-07-01T22:01:29.000Z,Belfast,0.3,rossalliance,0.26666666666666666,"Despite some initial cynicism, Clarkson’s Farm is really quite good",2021-07-01T22:00:00.000Z,1625176800,2,54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
2021-07-01T22:01:06.000Z,Belfast,0.8,MoBoDrums,0.75,Great catch up with  this evening. Although having not seen him in 25 years I was taken aback by a…,2021-07-01T22:00:00.000Z,1625176800,2,54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
2021-07-01T22:00:40.000Z,Belfast,0.0,BelfastBooks,0.0,Some parablesque  commentary here on the  TeamBeans -v- TeamMushrooms run off…,2021-07-01T22:00:00.000Z,1625176800,2,54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
2021-07-01T21:58:56.000Z,Belfast,0.0,BelfastBooks,1.0,Only one item has a chance of being admitted to the GoodFryDayAgreement compliant UlsterFry via the…,2021-07-01T21:00:00.000Z,1625173200,2,54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
2021-07-01T21:56:54.000Z,Belfast,0.0,BelfastBooks,0.0,"",2021-07-01T21:00:00.000Z,1625173200,2,54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
2021-07-01T21:56:16.000Z,Belfast,0.7616071428571429,zmcbreartyQUB,0.6928571428571428,"Ah! Amazing Anya, it is going to be so beautiful! ❤️ Best wishes for your special day! Can’t wait to catch-up xx",2021-07-01T21:00:00.000Z,1625173200,2,54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
2021-07-01T21:54:45.000Z,Belfast,0.09375,jakneill1,0.31875,I love any broadcast with  but this documentary about his (and other’s) personal disability struggles…,2021-07-01T21:00:00.000Z,1625173200,2,54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
2021-07-01T21:54:23.000Z,Belfast,0.5,NiamhyMcNally,0.6,I got off the plane today in Belfast and was welcomed by this! Love it 😍💚,2021-07-01T21:00:00.000Z,1625173200,2,54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
